Year,Film,Director,Producers
2008,Revolutionary Road,Sam Mendes,"Bobby Cohen, Sam Mendes, Scott Rudin"
2009,Avatar,James Cameron,James Cameron and Jon Landau
2009,The Hurt Locker,Kathryn Bigelow,"Kathryn Bigelow, Mark Boal, Nicolas Chartier, Tony Mark, Donall McCusker, Greg Shapiro"
2009,Inglourious Basterds,Quentin Tarantino,Lawrence Bender
2009,Precious,Lee Daniels,"Lisa Cortes, Sarah Siegel-Magness, Valerie Hoffman, Asger Hussain, Gary Magness, Mark G. Mathis, Berrgen Swason, Simone Sheffield"
2009,Up in the Air,Jason Reitman,"Daniel Dubiecki, Jeffrey Clifford, Ivan Reitman, Jason Reitman"
2010,The Social Network,David Fincher,"Scott Rudin, Dana Brunetti, Michael De Luca, Ceán Chaffin"
2010,Black Swan,Darren Aronofsky,"Mike Medavoy, Scott Franklin, Arnold Messer, Brian Oliver"
2010,The Fighter,David O. Russell,"David Hoberman, Todd Lieberman, Ryan Kavanaugh, Mark Wahlberg, Dorothy Aufiero, Paul Tamasy"
2010,Inception,Christopher Nolan,Christopher Nolan and Emma Thomas
2010,The King's Speech,Tom Hooper,"Iain Canning, Emile Sherman, Gareth Unwin"
2011,The Descendants,Alexander Payne,"Jim Burke, Alexander Payne, Jim Taylor"
2011,The Help,Tate Taylor,"Chris Columbus, Michael Barnathan, Brunson Green"
